"Edit Direct Link","Edit Direct Link"
"Add Direct Link","Add Direct Link"
"Direct Link","Direct Link"
"Use Link of Banner","Use Link of Banner"
"Banner","Banner"
"Page to show banner","Page to show banner"
"Required Fields","Required Fields"
"Cancel","Cancel"
"Save","Save"
"Direct Links","Direct Links"
"If deleting the domain, all direct links to this domain will be deleted. Do you want to continue?","If deleting the domain, all direct links to this domain will be deleted. Do you want to continue?"
"Are you sure to delete this direct link?","Are you sure to delete this direct link?"
"Domains","Domains"
"Get Source Code","Get Source Code"
"Title: %s","Title: %s"
"Type: %s","Type: %s"
"Size: %sx%s","Size: %sx%s"
"Link: ","Link: "
"Copy/ paste this source code into your website/ forum.","Copy/ paste this source code into your website/ forum."
"Type: Image","Type: Image"
"Type: Flash","Type: Flash"
"Type: Text","Type: Text"
"Preview: ","Preview: "
"Close","Close"
"Verify Domain","Verify Domain"
"Verify your ownership of %s.","Verify your ownership of %s."
"Upload an HTML file to your site.","Upload an HTML file to your site."
"1. Download %s this HTML verification file %s","1. Download %s this HTML verification file %s"
"2. Upload the file to %s","2. Upload the file to %s"
"3. Confirm successful upload by visiting %s in your browser.","3. Confirm successful upload by visiting %s in your browser."
"4. Click Verify below.","4. Click Verify below."
"To stay verified, don%st remove the HTML file, even after verification succeeds.","To stay verified, don%st remove the HTML file, even after verification succeeds."
"Not Now","Not Now"
"Verify","Verify"
"Domain Manager","Domain Manager"
"Add Domain","Add Domain"
"Direct link Manager","Direct link Manager"
"Add Direct link","Add Direct link"
"View Affiliate Account Detail","View Affiliate Account Detail"
"ID","ID"
"Affiliate Account","Affiliate Account"
"Domain","Domain"
"Status","Status"
"Action","Action"
"Clicks (unique/raw) (?)","Clicks (unique/raw) (?)"
"Domain information","Domain information"
"Account","Account"
"Save Domain","Save Domain"
"Delete Domain","Delete Domain"
"Save Direct Link","Save Direct Link"
"Delete Direct Link","Delete Direct Link"
"Direct Link information","Direct Link information"
"Statictics for clicks generated via direct link. Sometimes it shows O unique and a number of raws because clicks on the banner have been counted for normal link already.","Statictics for clicks generated via direct link. Sometimes it shows O unique and a number of raws because clicks on the banner have been counted for normal link already."
"Direct Link Tracking allows editing the format of normal affiliate link to be shorter and friendlier. It also helps affiliates to change the page to show banners without any difficulties. Customers will no longer be able to realize affiliate links easily, thus they will click more.","Direct Link Tracking allows editing the format of normal affiliate link to be shorter and friendlier. It also helps affiliates to change the page to show banners without any difficulties. Customers will no longer be able to realize affiliate links easily, thus they will click more."
"This domain has already existed!","This domain has already existed!"
"Domain link has been successfully deleted.","Domain link has been successfully deleted."
"Direct link has been successfully deleted.","Direct link has been successfully deleted."
"Direct link to this page has already existed!","Direct link to this page has already existed!"
"Your direct link has been successfully saved.","Your direct link has been successfully saved."
"Your domain has been successfully verified","Your domain has been successfully verified"
"Verification failed for %s using the HTML file method (less than a minute ago). We encountered an error looking up your site%ss domain name.","Verification failed for %s using the HTML file method (less than a minute ago). We encountered an error looking up your site%ss domain name."
